..........................] - ETA: 6:01 - loss: 2.4862
 8576/58608 [===>..........................] - ETA: 5:38 - loss: 2.4984
 8592/58608 [===>..........................] - ETA: 5:38 - loss: 2.4991
 8608/58608 [===>..........................] - ETA: 5:38 - loss: 2.4990
 8624/58608 [===>..........................] - ETA: 5:38 - loss: 2.4983
 8640/58608 [===>..........................] - ETA: 5:38 - loss: 2.4981
 8656/58608 [===>..........................] - ETA: 5:37 - loss: 2.4979
 8672/58608 [===>..........................] - ETA: 5:37 - loss: 2.4985
 8688/58608 [===>..........................] - ETA: 5:37 - loss: 2.4977
 8704/58608 [===>..........................] - ETA: 5:37 - loss: 2.4983
 8720/58608 [===>..........................] - ETA: 5:37 - loss: 2.4973
 8736/58608 [===>..........................] - ETA: 5:37 - loss: 2.4965
 8752/58608 [===>..........................] - ETA: 5:37 - loss: 2.4960
 8768/58608 [===>..........................] - ETA: 5:37 - loss: 2.4963
 8784/58608 [===>..........................] - ETA: 5:37 - loss: 2.4961
 8800/58608 [===>..........................] - ETA: 5:37 - loss: 2.4961
 8816/58608 [===>..........................] - ETA: 5:36 - loss: 2.4956
 8832/58608 [===>..........................] - ETA: 5:36 - loss: 2.4959
 8848/58608 [===>..........................] - ETA: 5:36 - loss: 2.4962
 8864/58608 [===>..........................] - ETA: 5:36 - loss: 2.4958
 8880/58608 [===>..........................] - ETA: 5:36 - loss: 2.4966
 8896/58608 [===>..........................] - ETA: 5:36 - loss: 2.4960
 8912/58608 [===>..........................] - ETA: 5:36 - loss: 2.4967
 8928/58608 [===>..........................] - ETA: 5:36 - loss: 2.4968
 8944/58608 [===>..........................] - ETA: 5:36 - loss: 2.4968
 8960/58608 [===>..........................] - ETA: 5:35 - loss: 2.4966
 8976/58608 [===>..........................] - ETA: 5:35 - loss: 2.4967
 8992/58608 [===>..........................] - ETA: 5:35 - loss: 2.4968
 9008/58608 [===>..........................] - ETA: 5:35 - loss: 2.4973
 9024/58608 [===>..........................] - ETA: 5:35 - loss: 2.4967
